canonical_entity,gap_type,rising,score,score_norm,seeds,source
ministerio de política territorial y memoria democrática,trending,1,140.0,0.0002,1,google_trends
youtube app,trending,1,140.0,0.0002,1,google_trends
gemini ia,trending,1,130.0,0.0001,1,google_trends
geminis ia gratis,trending,1,120.0,0.0001,1,google_trends
ia de google,trending,1,120.0,0.0001,2,google_trends
chatgpt plus,trending,1,110.0,0.0001,1,google_trends
ejercicios de memoria con soluciones,trending,1,110.0,0.0001,1,google_trends
gafas ia,trending,1,110.0,0.0001,1,google_trends
google search,trending,1,110.0,0.0001,1,google_trends
deep research que es,trending,1,100.0,0.0001,1,google_trends
google business,trending,1,100.0,0.0001,1,google_trends
grok ai,trending,1,100.0,0.0001,1,google_trends
sora chatgpt,trending,1,100.0,0.0001,1,google_trends
google account,trending,1,90.0,0.0001,1,google_trends
google doodle games,trending,1,90.0,0.0001,1,google_trends
google one,trending,1,90.0,0.0001,1,google_trends
google stock,trending,1,90.0,0.0001,1,google_trends
youtube audio library,trending,1,90.0,0.0001,1,google_trends
youtube shorts,trending,1,90.0,0.0001,1,google_trends
google form,trending,1,80.0,0.0001,1,google_trends
google games,trending,1,80.0,0.0001,1,google_trends
chatgpt openai,trending,1,70.0,0.0,1,google_trends
memoria de españa,trending,1,70.0,0.0,1,google_trends
youtube music channel,trending,1,70.0,0.0,1,google_trends
youtube studio,trending,1,70.0,0.0,1,google_trends
chatgpt app,trending,1,60.0,0.0,1,google_trends
chatgpt gratis,consolidado,0,100.0,1.0,1,google_trends
claude vs code,consolidado,0,100.0,1.0,1,google_trends
gemini deep research,consolidado,0,100.0,1.0,1,google_trends
la ia,consolidado,0,100.0,1.0,1,google_trends
la memoria,consolidado,0,100.0,1.0,1,google_trends
maps google,consolidado,0,100.0,1.0,1,google_trends
prompt ai,consolidado,0,100.0,1.0,1,google_trends
youtube video,consolidado,0,100.0,1.0,1,google_trends
claude code vs code,consolidado,0,98.0,0.9796,1,google_trends
deep research ai,consolidado,0,98.0,0.9796,1,google_trends
claude code anthropic,consolidado,0,93.0,0.9286,1,google_trends
vs code,consolidado,0,93.0,0.9286,1,google_trends
chatgpt deep research,consolidado,0,92.0,0.9184,1,google_trends
mp3 youtube,consolidado,0,89.0,0.8878,1,google_trends
deep research chatgpt,consolidado,0,88.0,0.8776,1,google_trends
anthropic claude,consolidado,0,86.0,0.8571,1,google_trends
code,consolidado,0,83.0,0.8265,1,google_trends
youtube music,consolidado,0,82.0,0.8163,1,google_trends
chatgpt prompt,consolidado,0,75.0,0.7449,1,google_trends
deep research google,consolidado,0,71.0,0.7041,1,google_trends
claude ai,consolidado,0,70.0,0.6939,1,google_trends
claude ai code,consolidado,0,70.0,0.6939,1,google_trends
ia gratis,consolidado,0,59.0,0.5816,1,google_trends
youtube videos,consolidado,0,56.0,0.551,1,google_trends
chatgpt gpt,consolidado,0,51.0,0.5,1,google_trends
google traductor,consolidado,0,51.0,0.5,1,google_trends
ia chatgpt,consolidado,0,51.0,0.5,2,google_trends
prompt engineering,consolidado,0,49.0,0.4796,1,google_trends
chatgpt ai,consolidado,0,47.0,0.4592,1,google_trends
chatgpt español,consolidado,0,47.0,0.4592,1,google_trends
google ia,consolidado,0,46.0,0.449,1,google_trends
ia detector,consolidado,0,46.0,0.449,1,google_trends
claude code price,consolidado,0,45.0,0.4388,1,google_trends
claude price,consolidado,0,45.0,0.4388,1,google_trends
prompt ia,consolidado,0,43.0,0.4184,1,google_trends
chatgpt españa,consolidado,0,41.0,0.398,1,google_trends
github claude code,consolidado,0,41.0,0.398,1,google_trends
detector de ia,consolidado,0,37.0,0.3571,1,google_trends
ai,consolidado,0,36.0,0.3469,1,google_trends
claude code pro,consolidado,0,36.0,0.3469,1,google_trends
claude code review,consolidado,0,36.0,0.3469,1,google_trends
claude pro,consolidado,0,36.0,0.3469,1,google_trends
descargar de youtube,consolidado,0,36.0,0.3469,1,google_trends
perplexity deep research,consolidado,0,36.0,0.3469,1,google_trends
claude code docs,consolidado,0,35.0,0.3367,1,google_trends
gemini prompt,consolidado,0,35.0,0.3367,1,google_trends
claude code mcp,consolidado,0,34.0,0.3265,1,google_trends
claude mcp,consolidado,0,34.0,0.3265,1,google_trends
claude api,consolidado,0,33.0,0.3163,1,google_trends
claude code api,consolidado,0,33.0,0.3163,1,google_trends
chatgpt online,consolidado,0,32.0,0.3061,1,google_trends
claude code pricing,consolidado,0,32.0,0.3061,1,google_trends
claude pricing,consolidado,0,32.0,0.3061,1,google_trends
image prompt,consolidado,0,32.0,0.3061,1,google_trends
claude code app,consolidado,0,31.0,0.2959,1,google_trends
ia imagenes,consolidado,0,31.0,0.2959,1,google_trends
youtube musica,consolidado,0,31.0,0.2959,1,google_trends
que es prompt,consolidado,0,27.0,0.2551,1,google_trends
prompt para chatgpt,consolidado,0,26.0,0.2449,1,google_trends
ia chat,consolidado,0,25.0,0.2347,1,google_trends
ia video,consolidado,0,25.0,0.2347,1,google_trends
translate google,consolidado,0,25.0,0.2347,1,google_trends
chat ia,consolidado,0,24.0,0.2245,1,google_trends
descargar video youtube,consolidado,0,24.0,0.2245,1,google_trends
deep learning,consolidado,0,23.0,0.2143,1,google_trends
download youtube,consolidado,0,23.0,0.2143,1,google_trends
ia fotos,consolidado,0,23.0,0.2143,1,google_trends
ia videos,consolidado,0,23.0,0.2143,1,google_trends
prompt gpt,consolidado,0,23.0,0.2143,1,google_trends
claude prompt,consolidado,0,22.0,0.2041,1,google_trends
convertidor youtube,consolidado,0,22.0,0.2041,1,google_trends
google maps,consolidado,0,22.0,0.2041,1,google_trends
mejor ia,consolidado,0,22.0,0.2041,1,google_trends
prompt de chatgpt,consolidado,0,21.0,0.1939,1,google_trends
chatgpt login,consolidado,0,20.0,0.1837,1,google_trends
descargar videos youtube,consolidado,0,20.0,0.1837,1,google_trends
descargar youtube mp3,consolidado,0,20.0,0.1837,1,google_trends
imagen ia,consolidado,0,20.0,0.1837,1,google_trends
prompt injection,consolidado,0,20.0,0.1837,1,google_trends
system prompt,consolidado,0,20.0,0.1837,1,google_trends
chatgpt free,consolidado,0,19.0,0.1735,1,google_trends
prompt para ia,consolidado,0,19.0,0.1735,1,google_trends
chat gpt prompt,consolidado,0,18.0,0.1633,1,google_trends
ia gpt,consolidado,0,18.0,0.1633,1,google_trends
image to prompt,consolidado,0,18.0,0.1633,1,google_trends
google translate,consolidado,0,17.0,0.1531,1,google_trends
youtube en español,consolidado,0,17.0,0.1531,1,google_trends
youtube mp4,consolidado,0,17.0,0.1531,1,google_trends
convertidor youtube mp3,consolidado,0,16.0,0.1429,1,google_trends
descargar musica youtube,consolidado,0,16.0,0.1429,1,google_trends
mobile app,consolidado,0,16.0,0.1429,1,google_trends
chat gpt ia,consolidado,0,15.0,0.1327,1,google_trends
ia de imagenes,consolidado,0,15.0,0.1327,1,google_trends
tarjeta memoria,consolidado,0,15.0,0.1327,1,google_trends
prompt generator,consolidado,0,14.0,0.1224,1,google_trends
que es la ia,consolidado,0,14.0,0.1224,1,google_trends
que es un prompt,consolidado,0,14.0,0.1224,1,google_trends
gemini ai deep research,consolidado,0,13.0,0.1122,1,google_trends
humanizador ia,consolidado,0,13.0,0.1122,1,google_trends
prompt para gemini,consolidado,0,13.0,0.1122,1,google_trends
drive google,consolidado,0,12.0,0.102,1,google_trends
google flights,consolidado,0,12.0,0.102,1,google_trends
que es la memoria,consolidado,0,12.0,0.102,1,google_trends
tarjeta de memoria,consolidado,0,12.0,0.102,1,google_trends
google fotos,consolidado,0,8.0,0.0612,1,google_trends
traductor de google,consolidado,0,8.0,0.0612,1,google_trends
chat gpt deep research,consolidado,0,7.0,0.051,1,google_trends
docs google,consolidado,0,7.0,0.051,1,google_trends
ejercicios memoria,consolidado,0,7.0,0.051,1,google_trends
google earth,consolidado,0,7.0,0.051,1,google_trends
memoria juegos,consolidado,0,7.0,0.051,1,google_trends
google documentos,consolidado,0,6.0,0.0408,1,google_trends
google gmail,consolidado,0,6.0,0.0408,1,google_trends
google play,consolidado,0,6.0,0.0408,1,google_trends
memoria usb,consolidado,0,6.0,0.0408,1,google_trends
documentos de google,consolidado,0,5.0,0.0306,1,google_trends
ejercicios de memoria,consolidado,0,5.0,0.0306,1,google_trends
google pixel,consolidado,0,5.0,0.0306,1,google_trends
google scholar,consolidado,0,5.0,0.0306,1,google_trends
google tiempo,consolidado,0,5.0,0.0306,1,google_trends
visual studio code,consolidado,0,5.0,0.0306,1,google_trends
google chat,consolidado,0,4.0,0.0204,1,google_trends
google map,consolidado,0,4.0,0.0204,1,google_trends
google mapa,consolidado,0,4.0,0.0204,1,google_trends
google traduction,consolidado,0,4.0,0.0204,1,google_trends
juego de memoria,consolidado,0,4.0,0.0204,1,google_trends
juegos de memoria,consolidado,0,4.0,0.0204,1,google_trends
memoria de madrid,consolidado,0,4.0,0.0204,1,google_trends
memoria democrática,consolidado,0,4.0,0.0204,1,google_trends
memoria externa,consolidado,0,4.0,0.0204,1,google_trends
memoria sd,consolidado,0,4.0,0.0204,1,google_trends
google docs,consolidado,0,3.0,0.0102,1,google_trends
memoria de trabajo,consolidado,0,3.0,0.0102,1,google_trends
memoria democratica,consolidado,0,3.0,0.0102,1,google_trends
memoria historica,consolidado,0,3.0,0.0102,1,google_trends
memoria ssd,consolidado,0,3.0,0.0102,1,google_trends
perdida de memoria,consolidado,0,3.0,0.0102,1,google_trends
google drive,consolidado,0,2.0,0.0,1,google_trends
google photos,consolidado,0,2.0,0.0,1,google_trends
