canonical_entity,gap_type,rising,score,score_norm,seeds,source
product,trending,1,640650.0,1.0,2,google_trends
what is claude code,trending,1,428200.0,0.6684,1,google_trends
claude code documentation,trending,1,425850.0,0.6647,1,google_trends
claude code cli,trending,1,382300.0,0.5967,1,google_trends
claude code skills,trending,1,362350.0,0.5656,1,google_trends
claude skills,trending,1,361450.0,0.5642,1,google_trends
skills claude,trending,1,360700.0,0.563,1,google_trends
claude code news,trending,1,348550.0,0.544,1,google_trends
banana prompt,trending,1,208750.0,0.3258,1,google_trends
claude code usage,trending,1,203800.0,0.3181,1,google_trends
claude code agents,trending,1,203150.0,0.3171,1,google_trends
claude code skill,trending,1,195000.0,0.3043,1,google_trends
claude design,trending,1,180200.0,0.2812,1,google_trends
claude subscription,trending,1,152300.0,0.2377,1,google_trends
codex vs claude code,trending,1,143000.0,0.2232,1,google_trends
claude code memory,trending,1,133850.0,0.2089,1,google_trends
claude code limits,trending,1,132250.0,0.2064,1,google_trends
claude code best practices,trending,1,131500.0,0.2052,1,google_trends
claude code prices,trending,1,128550.0,0.2006,1,google_trends
que es deep research en gemini,trending,1,126300.0,0.1971,1,google_trends
claude code remote,trending,1,124750.0,0.1947,1,google_trends
prompt cowboy,trending,1,123900.0,0.1933,1,google_trends
claude code mobile,trending,1,119850.0,0.187,1,google_trends
claude code hooks,trending,1,115400.0,0.1801,1,google_trends
ai news today,trending,1,114300.0,0.1784,2,google_trends
ai mode,trending,1,86850.0,0.1355,1,google_trends
claude cowork,trending,1,86500.0,0.135,1,google_trends
deep learning tutorials,trending,1,86450.0,0.1349,1,google_trends
claude code tutorial,trending,1,85750.0,0.1338,1,google_trends
nano banana gemini,trending,1,79350.0,0.1238,1,google_trends
prompt para nano banana,trending,1,52350.0,0.0817,1,google_trends
humanize ai,trending,1,49700.0,0.0775,1,google_trends
openai news,trending,1,46300.0,0.0722,1,google_trends
nano banana pro,trending,1,40950.0,0.0639,1,google_trends
google ai studio,trending,1,33900.0,0.0529,2,google_trends
prompt optimizer,trending,1,33000.0,0.0515,1,google_trends
nano banana ia,trending,1,32000.0,0.0499,1,google_trends
nano banana google,trending,1,22350.0,0.0348,2,google_trends
best deep conditioners,trending,1,21300.0,0.0332,1,google_trends
qué distingue al modelo deep research de otros,trending,1,20800.0,0.0324,1,google_trends
cowboy prompt ai,trending,1,20600.0,0.0321,1,google_trends
how to deep clean kitchen,trending,1,19950.0,0.0311,1,google_trends
memoria rosalia letra,trending,1,17150.0,0.0267,1,google_trends
prompt para fotos profesionales,trending,1,15900.0,0.0248,1,google_trends
best deep dish pizza in chicago,trending,1,15250.0,0.0237,1,google_trends
prompt para mejorar la calidad de una imagen,trending,1,14300.0,0.0223,1,google_trends
tu rostro siempre en mi memoria,trending,1,12650.0,0.0197,1,google_trends
mr prompt,trending,1,9850.0,0.0153,1,google_trends
min choi prompt,trending,1,8650.0,0.0134,1,google_trends
prompt cannon,trending,1,7650.0,0.0119,1,google_trends
humanizador de ia,trending,1,7450.0,0.0116,2,google_trends
generador de prompts,trending,1,7250.0,0.0113,1,google_trends
openai prompt optimizer,trending,1,7100.0,0.011,1,google_trends
prompt chatgpt caricatura,trending,1,6900.0,0.0107,1,google_trends
google modo ia,trending,1,6650.0,0.0103,1,google_trends
banana,trending,1,6300.0,0.0098,1,google_trends
banana ia,trending,1,5050.0,0.0078,1,google_trends
proxus ia,trending,1,4650.0,0.0072,1,google_trends
modo ia,trending,1,4050.0,0.0063,1,google_trends
rosalia memoria,trending,1,4050.0,0.0063,1,google_trends
astra ia,trending,1,3750.0,0.0058,1,google_trends
astra ai,trending,1,2950.0,0.0045,1,google_trends
alex ia legal,trending,1,2700.0,0.0042,1,google_trends
google pixel 10 pro xl,trending,1,2600.0,0.004,1,google_trends
google pixel 10 pro,trending,1,2000.0,0.0031,1,google_trends
google pixel 10,trending,1,1800.0,0.0027,1,google_trends
video downloader save video,trending,1,1550.0,0.0024,1,google_trends
best coding youtube channels,trending,1,1250.0,0.0019,1,google_trends
how to change youtube username,trending,1,1250.0,0.0019,1,google_trends
consolidación de la memoria,trending,1,1200.0,0.0018,1,google_trends
www google com search,trending,1,1150.0,0.0017,1,google_trends
codex chatgpt,trending,1,1050.0,0.0016,1,google_trends
preservar la memoria arc raiders,trending,1,850.0,0.0013,1,google_trends
mode ia,trending,1,600.0,0.0009,1,google_trends
en algun lugar de la memoria,trending,1,550.0,0.0008,1,google_trends
google flow,trending,1,550.0,0.0008,1,google_trends
ai studio google,trending,1,400.0,0.0006,1,google_trends
google news,trending,1,400.0,0.0006,1,google_trends
gemini google,trending,1,350.0,0.0005,1,google_trends
google business profile,trending,1,350.0,0.0005,1,google_trends
google notebooklm,trending,1,350.0,0.0005,1,google_trends
memoria de un asesino serie,trending,1,350.0,0.0005,1,google_trends
claude ia,trending,1,300.0,0.0004,1,google_trends
command prompt,trending,1,300.0,0.0004,2,google_trends
google ai,trending,1,300.0,0.0004,1,google_trends
google pixel 9a,trending,1,300.0,0.0004,1,google_trends
kimi ia,trending,1,300.0,0.0004,1,google_trends
maite ia,trending,1,300.0,0.0004,1,google_trends
alex ia,trending,1,250.0,0.0003,1,google_trends
chatgpt business,trending,1,250.0,0.0003,1,google_trends
cual es la mejor ia,trending,1,200.0,0.0002,1,google_trends
flow ia,trending,1,200.0,0.0002,1,google_trends
google notebook,trending,1,200.0,0.0002,1,google_trends
google studio,trending,1,200.0,0.0002,1,google_trends
oreate ia,trending,1,190.0,0.0002,1,google_trends
ia studio google,trending,1,180.0,0.0002,1,google_trends
notebook ia,trending,1,180.0,0.0002,1,google_trends
ia google,trending,1,160.0,0.0002,1,google_trends
anthropic,trending,1,150.0,0.0002,1,google_trends
