canonical_entity,score,rising,seeds,source,score_norm
ai studio google,400.0,1,1,google_trends,0.0001
gemini ai photo,400.0,1,1,google_trends,0.0001
google news,400.0,1,1,google_trends,0.0001
agentes de ia,350.0,1,1,google_trends,0.0001
command prompt,350.0,1,3,google_trends,0.0001
gemini google,350.0,1,2,google_trends,0.0001
google business profile,350.0,1,2,google_trends,0.0001
google notebooklm,350.0,1,1,google_trends,0.0001
memoria de un asesino serie,350.0,1,1,google_trends,0.0001
ofertas de trabajo de empresa confidencial,350.0,1,1,google_trends,0.0001
claude ia,300.0,1,1,google_trends,0.0001
gemini enterprise,300.0,1,1,google_trends,0.0001
gemini pro,300.0,1,1,google_trends,0.0001
google ai,300.0,1,2,google_trends,0.0001
google pixel 9a,300.0,1,1,google_trends,0.0001
kimi ia,300.0,1,1,google_trends,0.0001
la empresa de las sillas,300.0,1,1,google_trends,0.0001
maite ia,300.0,1,1,google_trends,0.0001
perplexity,300.0,1,4,google_trends,0.0001
agentes ia,250.0,1,1,google_trends,0.0001
alex ia,250.0,1,1,google_trends,0.0001
chatgpt business,250.0,1,1,google_trends,0.0001
notebooklm,250.0,1,1,google_trends,0.0001
cual es la mejor ia,200.0,1,1,google_trends,0.0001
flow ia,200.0,1,1,google_trends,0.0001
google notebook,200.0,1,1,google_trends,0.0001
google studio,200.0,1,1,google_trends,0.0001
oreate ia,190.0,1,1,google_trends,0.0001
ia agentica,180.0,1,1,google_trends,0.0001
ia studio google,180.0,1,1,google_trends,0.0001
notebook ia,180.0,1,1,google_trends,0.0001
wordpress install,180.0,1,1,google_trends,0.0001
ia google,160.0,1,1,google_trends,0.0
anthropic,150.0,1,2,google_trends,0.0
ministerio de política territorial y memoria democrática,140.0,1,1,google_trends,0.0
youtube app,140.0,1,1,google_trends,0.0
gemini ia,130.0,1,2,google_trends,0.0
prompt,130.0,1,1,google_trends,0.0
geminis ia gratis,120.0,1,1,google_trends,0.0
ia de google,120.0,1,2,google_trends,0.0
chatgpt plus,110.0,1,1,google_trends,0.0
ejercicios de memoria con soluciones,110.0,1,1,google_trends,0.0
gafas ia,110.0,1,1,google_trends,0.0
google search,110.0,1,1,google_trends,0.0
grok,110.0,1,1,google_trends,0.0
wordpress ia,110.0,1,1,google_trends,0.0
claude ai,100.0,1,2,google_trends,0.0
google business,100.0,1,1,google_trends,0.0
grok ai,100.0,1,1,google_trends,0.0
sora chatgpt,100.0,1,1,google_trends,0.0
wordpress plugin,100.0,1,1,google_trends,0.0
google account,90.0,1,1,google_trends,0.0
google doodle games,90.0,1,1,google_trends,0.0
google one,90.0,1,1,google_trends,0.0
google stock,90.0,1,1,google_trends,0.0
youtube audio library,90.0,1,1,google_trends,0.0
youtube shorts,90.0,1,1,google_trends,0.0
google form,80.0,1,1,google_trends,0.0
google games,80.0,1,1,google_trends,0.0
emt palma empresa municipal de transportes de palma de mallorca,70.0,1,1,google_trends,0.0
memoria de españa,70.0,1,1,google_trends,0.0
youtube music channel,70.0,1,1,google_trends,0.0
youtube studio,70.0,1,1,google_trends,0.0
chatgpt app,60.0,1,1,google_trends,0.0
chatgpt agentes,50.0,1,1,google_trends,0.0
ia predictiva,50.0,1,1,google_trends,0.0
chatgpt,100.0,0,1,google_trends,1.0
chatgpt gratis,100.0,0,1,google_trends,1.0
claude vs code,100.0,0,1,google_trends,1.0
gemini ai,100.0,0,1,google_trends,1.0
gemini deep research,100.0,0,1,google_trends,1.0
generative ai,100.0,0,1,google_trends,1.0
la ia,100.0,0,1,google_trends,1.0
la memoria,100.0,0,1,google_trends,1.0
maps google,100.0,0,1,google_trends,1.0
prompt ai,100.0,0,1,google_trends,1.0
wordpress,100.0,0,1,google_trends,1.0
youtube video,100.0,0,1,google_trends,1.0
claude code vs code,98.0,0,1,google_trends,0.9796
deep research ai,98.0,0,1,google_trends,0.9796
google,97.0,0,1,google_trends,0.9694
ai,93.0,0,2,google_trends,0.9286
claude code anthropic,93.0,0,1,google_trends,0.9286
vs code,93.0,0,1,google_trends,0.9286
chatgpt deep research,92.0,0,1,google_trends,0.9184
mp3 youtube,89.0,0,1,google_trends,0.8878
deep research chatgpt,88.0,0,1,google_trends,0.8776
anthropic claude,86.0,0,1,google_trends,0.8571
youtube music,82.0,0,1,google_trends,0.8163
chatgpt prompt,75.0,0,1,google_trends,0.7449
deep research google,71.0,0,1,google_trends,0.7041
wordpress web,71.0,0,1,google_trends,0.7041
claude ai code,70.0,0,1,google_trends,0.6939
ia gratis,59.0,0,1,google_trends,0.5816
youtube videos,56.0,0,1,google_trends,0.551
chatgpt gpt,51.0,0,1,google_trends,0.5
google traductor,51.0,0,1,google_trends,0.5
ia chatgpt,51.0,0,2,google_trends,0.5
agentes medioambientales,48.0,0,1,google_trends,0.4694
chatgpt ai,47.0,0,1,google_trends,0.4592
chatgpt español,47.0,0,1,google_trends,0.4592
inteligencia artificial generativa,47.0,0,1,google_trends,0.4592
google ia,46.0,0,1,google_trends,0.449
ia detector,46.0,0,1,google_trends,0.449
agentes forestales,45.0,0,1,google_trends,0.4388
claude code price,45.0,0,1,google_trends,0.4388
claude price,45.0,0,1,google_trends,0.4388
agentes de hacienda,43.0,0,1,google_trends,0.4184
prompt ia,43.0,0,1,google_trends,0.4184
ia generativa imagenes,42.0,0,1,google_trends,0.4082
agente forestal,41.0,0,1,google_trends,0.398
chatgpt españa,41.0,0,1,google_trends,0.398
github claude code,41.0,0,1,google_trends,0.398
detector de ia,37.0,0,1,google_trends,0.3571
claude code pro,36.0,0,1,google_trends,0.3469
claude code review,36.0,0,1,google_trends,0.3469
claude pro,36.0,0,1,google_trends,0.3469
descargar de youtube,36.0,0,1,google_trends,0.3469
perplexity deep research,36.0,0,1,google_trends,0.3469
agentes de la autoridad,35.0,0,1,google_trends,0.3367
claude code docs,35.0,0,1,google_trends,0.3367
gemini prompt,35.0,0,1,google_trends,0.3367
claude code mcp,34.0,0,1,google_trends,0.3265
claude mcp,34.0,0,1,google_trends,0.3265
agentes comerciales,33.0,0,1,google_trends,0.3163
claude api,33.0,0,1,google_trends,0.3163
claude code api,33.0,0,1,google_trends,0.3163
agentes inmobiliarios,32.0,0,1,google_trends,0.3061
chatgpt online,32.0,0,1,google_trends,0.3061
claude code pricing,32.0,0,1,google_trends,0.3061
